vendor,category,default_ports,shodan_dork,source_repo
OpenHands,Agent Frameworks,3000,"http.title:""OpenHands""",AI-LLM-Infrastructure-OSINT
AutoGPT,Agent Frameworks,,"http.html:""AutoGPT""",AI-LLM-Infrastructure-OSINT
SuperAGI,Agent Frameworks,,"http.html:""SuperAGI""",AI-LLM-Infrastructure-OSINT
AgentGPT,Agent Frameworks,,"http.html:""AgentGPT""",AI-LLM-Infrastructure-OSINT
GPT Researcher,Agent Frameworks,8000,"port:8000 http.html:""gpt-researcher""",AI-LLM-Infrastructure-OSINT
MetaGPT,Agent Frameworks,,"http.html:""metagpt""",AI-LLM-Infrastructure-OSINT
BabyAGI,Agent Frameworks,,"http.html:""babyagi""",AI-LLM-Infrastructure-OSINT
SWE-agent,Agent Frameworks,,"http.html:""swe-agent""",AI-LLM-Infrastructure-OSINT
Devika,Agent Frameworks,,"http.html:""devika""",AI-LLM-Infrastructure-OSINT
Phidata,Agent Frameworks,,"http.html:""phidata""",AI-LLM-Infrastructure-OSINT
Agno,Agent Frameworks,,"http.html:""agno""",AI-LLM-Infrastructure-OSINT
AutoGen Studio,Agent Frameworks,,"http.html:""autogen""",AI-LLM-Infrastructure-OSINT
HyperAgent,Agent Frameworks,,"http.html:""hyperagent""",AI-LLM-Infrastructure-OSINT
LangGraph Server,Agent Frameworks,8000;8123,"port:8000 http.html:""langgraph""",AI-LLM-Infrastructure-OSINT
h2oGPT,RAG Stacks,7860,"port:7860 http.html:""h2oGPT""",AI-LLM-Infrastructure-OSINT
Verba,RAG Stacks,8000,"port:8000 http.html:""verba""",AI-LLM-Infrastructure-OSINT
Danswer,RAG Stacks,3000,"port:3000 http.html:""danswer""",AI-LLM-Infrastructure-OSINT
Onyx,RAG Stacks,3000,"port:3000 http.html:""onyx""",AI-LLM-Infrastructure-OSINT
Quivr,RAG Stacks,5050,"port:5050 http.html:""quivr""",AI-LLM-Infrastructure-OSINT
Letta,RAG Stacks,8283,"port:8283 http.html:""letta""",AI-LLM-Infrastructure-OSINT
MemGPT,RAG Stacks,8283,"port:8283 http.html:""memgpt""",AI-LLM-Infrastructure-OSINT
Khoj,RAG Stacks,42110,"port:42110 http.html:""khoj""",AI-LLM-Infrastructure-OSINT
RAGFlow,RAG Stacks,80;8080,"http.html:""ragflow"" port:80",AI-LLM-Infrastructure-OSINT
FastGPT,RAG Stacks,3000,"port:3000 http.html:""fastgpt""",AI-LLM-Infrastructure-OSINT
LibreChat,RAG Stacks,3080,"port:3080 http.html:""librechat""",AI-LLM-Infrastructure-OSINT
LightRAG,RAG Stacks,9621,"port:9621 http.html:""LightRAG""",AI-LLM-Infrastructure-OSINT
LightRAG,RAG Stacks,9621,"port:9621 http.html:""/query""",AI-LLM-Infrastructure-OSINT
PrivateGPT,RAG Stacks,8001,"port:8001 http.html:""PrivateGPT""",AI-LLM-Infrastructure-OSINT
PrivateGPT,RAG Stacks,8001,"port:8001 http.html:""/v1/ingest""",AI-LLM-Infrastructure-OSINT
Cognita,RAG Stacks,8000,"port:8000 http.html:""cognita"" http.html:""truefoundry""",AI-LLM-Infrastructure-OSINT
ComfyUI,Image Generation,8188;5984,"port:8188 http.html:""comfyui""",AI-LLM-Infrastructure-OSINT
ComfyUI,Image Generation,8188,"http.title:""ComfyUI""",AI-LLM-Infrastructure-OSINT
Stable Diffusion WebUI,Image Generation,7860,"port:7860 http.html:""stable diffusion""",AI-LLM-Infrastructure-OSINT
Stable Diffusion WebUI,Image Generation,7860,"port:7860 http.html:""AUTOMATIC1111""",AI-LLM-Infrastructure-OSINT
InvokeAI,Image Generation,9090,"port:9090 http.html:""invokeai""",AI-LLM-Infrastructure-OSINT
InvokeAI,Image Generation,7860,"port:7860 http.html:""invokeai""",AI-LLM-Infrastructure-OSINT
Fooocus,Image Generation,7865,"port:7865 http.html:""fooocus""",AI-LLM-Infrastructure-OSINT
SwarmUI,Image Generation,7801,"port:7801 http.html:""swarmui""",AI-LLM-Infrastructure-OSINT
SD.Next,Image Generation,7860,"port:7860 http.html:""sd.next""",AI-LLM-Infrastructure-OSINT
Forge,Image Generation,7860,"port:7860 http.html:""forge""",AI-LLM-Infrastructure-OSINT
OpenHands,Code Assistants,3000,"port:3000 http.html:""openhands""",AI-LLM-Infrastructure-OSINT
Tabnine,Code Assistants,443,"ssl.cert.subject.cn:""tabnine.com""",AI-LLM-Infrastructure-OSINT
Sourcegraph,Code Assistants,80;443,"http.html:""sourcegraph""",AI-LLM-Infrastructure-OSINT
Sourcebot,Code Assistants,8080;3000,"port:8080 http.html:""sourcebot""",AI-LLM-Infrastructure-OSINT
Sweep AI,Code Assistants,,"http.html:""sweep"" http.html:""ai""",AI-LLM-Infrastructure-OSINT
bolt.diy,Code Assistants,443;3001;8081,"http.html:""bolt.diy""",AI-LLM-Infrastructure-OSINT
Dyad,Code Assistants,,"http.html:""dyad""",AI-LLM-Infrastructure-OSINT
CodeGeeX,Code Assistants,,"http.html:""codegeex""",AI-LLM-Infrastructure-OSINT
Refact,Code Assistants,8081,"port:8081 http.html:""refact""",AI-LLM-Infrastructure-OSINT
gpt-engineer,Code Assistants,8081,"port:8081 http.html:""gpt-engineer""",AI-LLM-Infrastructure-OSINT
MCP SSE,MCP Servers,3000,"""modelcontextprotocol"" port:3000",AI-LLM-Infrastructure-OSINT
MCP SSE,MCP Servers,3000,"""mcp"" ""/sse"" ""message"" port:3000",AI-LLM-Infrastructure-OSINT
MCP JSON-RPC,MCP Servers,8080,"""mcp"" ""tools/list"" port:8080",AI-LLM-Infrastructure-OSINT
MCP JSON-RPC,MCP Servers,,"""jsonrpc"" ""2.0"" ""tools/list""",AI-LLM-Infrastructure-OSINT
MCP Filesystem,MCP Servers,,"""server-filesystem"" ""mcp""",AI-LLM-Infrastructure-OSINT
MCP Server,MCP Servers,8000,"""mcp-server-"" ""sse"" port:8000",AI-LLM-Infrastructure-OSINT
FastMCP,MCP Servers,8000,"""FastMCP"" ""uvicorn"" port:8000",AI-LLM-Infrastructure-OSINT
MCP Proxy,MCP Servers,8080,"""mcp-proxy"" port:8080",AI-LLM-Infrastructure-OSINT
FastMCP,MCP Servers,,"http.html:""FastMCP""",AI-LLM-Infrastructure-OSINT
MCP Server,MCP Servers,,"""text/event-stream"" ""jsonrpc""",AI-LLM-Infrastructure-OSINT
HexStrike AI,MCP Servers,8888,"http.html:""hexstrike"" port:8888",AI-LLM-Infrastructure-OSINT
HexStrike AI,MCP Servers,11434,"""HexStrike"" port:11434",AI-LLM-Infrastructure-OSINT
HexStrike AI,MCP Servers,11434,"""hexstrike-ai"" port:11434",AI-LLM-Infrastructure-OSINT
OpenAI API Key,Credential Leaks,,"http.html:""OPENAI_API_KEY""",AI-LLM-Infrastructure-OSINT
Anthropic API Key,Credential Leaks,,"http.html:""ANTHROPIC_API_KEY""",AI-LLM-Infrastructure-OSINT
Mistral API Key,Credential Leaks,,"http.html:""MISTRAL_API_KEY""",AI-LLM-Infrastructure-OSINT
DeepSeek API Key,Credential Leaks,,"http.html:""DEEPSEEK_API_KEY""",AI-LLM-Infrastructure-OSINT
Groq API Key,Credential Leaks,,"http.html:""GROQ_API_KEY""",AI-LLM-Infrastructure-OSINT
Google AI Key,Credential Leaks,,"http.html:""GOOGLE_API_KEY""",AI-LLM-Infrastructure-OSINT
HuggingFace Token,Credential Leaks,,"http.html:""HF_TOKEN""",AI-LLM-Infrastructure-OSINT
Env File Exposure,Credential Leaks,,"http.html:"".env"" http.html:""API_KEY""",AI-LLM-Infrastructure-OSINT
Docker Daemon,Containers / Infra,2375,"port:2375 http.html:""docker""",AI-LLM-Infrastructure-OSINT
Portainer,Containers / Infra,9000,"port:9000 http.html:""portainer""",AI-LLM-Infrastructure-OSINT
Kubernetes API,Containers / Infra,6443,"port:6443 http.html:""kubernetes""",AI-LLM-Infrastructure-OSINT
Kubernetes Kubelet,Containers / Infra,10250;10255,"port:10250 http.html:""kubelet""",AI-LLM-Infrastructure-OSINT
etcd,Containers / Infra,2379,"port:2379 http.html:""etcd""",AI-LLM-Infrastructure-OSINT
Rancher,Containers / Infra,8443,"port:8443 http.html:""rancher""",AI-LLM-Infrastructure-OSINT
k3s,Containers / Infra,,"http.html:""k3s""",AI-LLM-Infrastructure-OSINT
Kubernetes Dashboard,Containers / Infra,30000,"port:30000 http.html:""kubernetes""",AI-LLM-Infrastructure-OSINT
Consul,Containers / Infra,8500,"port:8500 http.html:""consul""",AI-LLM-Infrastructure-OSINT
Vault,Containers / Infra,8200,"port:8200 http.html:""vault""",AI-LLM-Infrastructure-OSINT
Qdrant,Backup / Snapshot,6333,"port:6333 http.html:""snapshots""",AI-LLM-Infrastructure-OSINT
Milvus,Backup / Snapshot,9000,"port:9000 http.html:""milvus"" http.html:""backup""",AI-LLM-Infrastructure-OSINT
MinIO,Backup / Snapshot,9000,"port:9000 http.html:""minio"" http.html:""backup""",AI-LLM-Infrastructure-OSINT
ChromaDB,Backup / Snapshot,8000,"port:8000 http.html:""chroma"" http.html:""backup""",AI-LLM-Infrastructure-OSINT
Weaviate,Backup / Snapshot,8080,"port:8080 http.html:""weaviate"" http.html:""backup""",AI-LLM-Infrastructure-OSINT
Elasticsearch,Backup / Snapshot,9200,"port:9200 http.html:""elasticsearch"" http.html:""snapshot""",AI-LLM-Infrastructure-OSINT
NVIDIA DCGM,GPU / Compute,9400,"port:9400 http.html:""dcgm""",AI-LLM-Infrastructure-OSINT
NVIDIA SMI,GPU / Compute,8080,"port:8080 http.html:""nvidia-smi""",AI-LLM-Infrastructure-OSINT
RunPod,GPU / Compute,8888,"port:8888 http.html:""runpod""",AI-LLM-Infrastructure-OSINT
Vast.ai,GPU / Compute,8080,"port:8080 http.html:""vast""",AI-LLM-Infrastructure-OSINT
GPUStack,GPU / Compute,80,"port:80 http.html:""gpustack""",AI-LLM-Infrastructure-OSINT
Gradio,Fingerprinting,7860,http.favicon.hash:-1294819032,AI-LLM-Infrastructure-OSINT
Streamlit,Fingerprinting,8501,http.favicon.hash:1279780014,AI-LLM-Infrastructure-OSINT
Jupyter,Fingerprinting,8888,http.favicon.hash:-1848965666,AI-LLM-Infrastructure-OSINT
