vendor,domain,dmarc_policy,dmarc_aspf,dmarc_rua,funding_stage,raw
Arize AI,arize.com,reject,,mailto:dmarc@arize.com,Series C,v=DMARC1; p=reject; adkim=r; pct=100; rua=mailto:dmarc@arize.com; ruf=mailto:dmarc+failures@arize.com;
AutoGen Studio,microsoft.com,reject,,mailto:itex-rua@microsoft.com,,v=DMARC1; p=reject; pct=100; rua=mailto:itex-rua@microsoft.com; ruf=mailto:itex-ruf@microsoft.com; fo=1
AutoGPT,agpt.co,none,,mailto:a195e2ecd60345a3afd96c487206dcc3@dmarc-reports.cloudflare.net,,v=DMARC1; p=none; rua=mailto:a195e2ecd60345a3afd96c487206dcc3@dmarc-reports.cloudflare.net
Argo Workflows,argoproj.github.io,no-dmarc,,,,
BentoML,bentoml.com,none,,mailto:contact@bentoml.com,,v=DMARC1; p=none; rua=mailto:contact@bentoml.com
Attu,attu.com,no-dmarc,,,,v=spf1 -all
Amulet Scan DuckDB API,amulet.com,no-dmarc,,,,
Cadence Web,cadence.com,reject,,mailto:dmarc_rua@emaildefense.proofpoint.com,,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com
Botpress,botpress.com,reject,s,"mailto:qozp76nk8j@rua.dmarc.it-svc.com,mailto:dmarc@botpress.com",,"v=DMARC1; p=reject; psd=n; adkim=s; aspf=s; rua=mailto:qozp76nk8j@rua.dmarc.it-svc.com,mailto:dmarc@botpress.com; ruf=mailto:qozp76nk8j@ruf.dmarc.it-svc.com; pct=100; fo=1; sp=reject;"
Browserless,browserless.com,no-dmarc,,,,
Cassandra CQL,cassandra.com,no-dmarc,,,,v=spf1 ip6:fd43:c0d1:c090::/48 -all
Bark,bark.com,reject,,"mailto:df64f792eb@rua.easydmarc.us,mailto:dmarc_agg@dmarc.everest.email",,"_dmarc.bark_com._d.easydmarc.pro. v=DMARC1;p=reject;rua=mailto:df64f792eb@rua.easydmarc.us,mailto:dmarc_agg@dmarc.everest.email;ruf=mailto:df64f792eb@ruf.easydmarc.us;fo=1"
Cassandra,cassandra.apache.org,no-dmarc,,,,
bolt.diy,boltdiy.com,no-dmarc,,,,
Chainlit,chainlit.com,no-dmarc,,,,
ChromaDB,trychroma.com,reject,r,mailto:re+l0jktyj7rlc@dmarc.postmarkapp.com,,v=DMARC1; p=reject; pct=100; rua=mailto:re+l0jktyj7rlc@dmarc.postmarkapp.com; sp=reject; aspf=r;
ChatTTS,chattts.com,no-dmarc,,,,
Chrome DevTools Protocol,chrome.com,none,,mailto:mailauth-reports@google.com,,v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com
Clawdbot,clawdbot.com,no-dmarc,,,,
ClickHouse,clickhouse.com,quarantine,,mailto:security+dmarcreport@clickhouse.com,,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:security+dmarcreport@clickhouse.com
CKAN,ckan.com,no-dmarc,,,,
ClearML,clear.ml,quarantine,,mailto:dmarc@allegro.ai,,v=DMARC1; p=quarantine; rua=mailto:dmarc@allegro.ai;
Cheshire Cat,cheshire.com,no-dmarc,,,,
Collibra,collibra.com,reject,,"mailto:wcanjx7d@ag.eu.dmarcian.com,mailto:admin@collibra.com",,"v=DMARC1; p=reject; rua=mailto:wcanjx7d@ag.eu.dmarcian.com,mailto:admin@collibra.com;"
CodeGeeX,codegeex.com,no-dmarc,,,,
Cognee,cognee.com,no-dmarc,,,,
Chatterbox TTS API,chatterbox.com,no-dmarc,,,,
Consul,consul.com,no-dmarc,,,,v=spf1 -all
ComfyUI,comfyui.com,no-dmarc,,,,
Cognita,cognita.com,none,r,mailto:042b11e7@inbox.ondmarc.com,,v=DMARC1; p=none; pct=100; sp=none; rua=mailto:042b11e7@inbox.ondmarc.com; ruf=mailto:042b11e7@inbox.ondmarc.com; adkim=r; aspf=r; fo=1; rf=afrf; ri=3600
Cornac,cornac.com,no-dmarc,,,,v=spf1 -all
Cilium Metrics,cilium.com,no-dmarc,,,,v=spf1 -all
CrewAI Studio,crewai.com,quarantine,r,mailto:re+r5hfs31eoh5@dmarc.postmarkapp.com,,v=DMARC1; p=quarantine; sp=quarantine; pct=100; rua=mailto:re+r5hfs31eoh5@dmarc.postmarkapp.com; aspf=r; adkim=r
Coze,coze.com,no-dmarc,,,,
CVAT,cvat.ai,quarantine,,mailto:dmarc@raztuut9.uriports.com,,v=DMARC1; p=quarantine; rua=mailto:dmarc@raztuut9.uriports.com; ruf=mailto:dmarc@raztuut9.uriports.com
Custom Embedding API (FastAPI/uvicorn),custom.com,no-dmarc,,,,
AgentGPT,agentgpt.reworkd.ai,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Coolify,coolify.com,no-dmarc,,,,v=spf1 -all
Dagster,dagster.io,reject,,mailto:0d46c6a0@mxtoolbox.dmarc-report.com,,dagster.io.hosted.dmarc-report.com. v=DMARC1;p=reject;fo=1;rua=mailto:0d46c6a0@mxtoolbox.dmarc-report.com;ruf=mailto:0d46c6a0@forensics.dmarc-report.com;pct=10
Apache Superset,superset.apache.org,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Coqui TTS,coqui.com,none,s,mailto:unixsystems@coqui.com,,v=DMARC1; p=none; rua=mailto:unixsystems@coqui.com; pct=100; adkim=s; aspf=s
Apache Tika,tika.apache.org,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Apache Zeppelin,zeppelin.apache.org,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Databend,databend.com,reject,,,,v=DMARC1; p=reject;
DataHub,datahub.com,reject,s,"mailto:dmarc@datahub.com, mailto:dmarc@datahub.com",,"v=DMARC1; p=reject; rua=mailto:dmarc@datahub.com, mailto:dmarc@datahub.com; pct=100; adkim=s; aspf=s"
Deepgram,deepgram.com,quarantine,,mailto:dmarcreports@deepgram.com,,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarcreports@deepgram.com
Argo Workflows (auth-enforced),argoworkflows.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Danswer,danswer.com,no-dmarc,,,,
Arize Phoenix,phoenix.arize.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
BabyAGI,babyagi.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
AUTOMATIC1111 / SD WebUI,automatic1111.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Axolotl,axolotl.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
BAAI/bge,baaibge.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Bifrost,bifrost.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Definite.app DuckDB,definiteapp.com,none,,mailto:dmarc@definiteapp.com v=DMARC1,,v=DMARC1; p=none; rua=mailto:dmarc@definiteapp.com v=DMARC1; p=none; rua=mailto:dmarc-reports@unifygtm.com
Debezium,debezium.com,no-dmarc,,,,
dcm4chee,dcm4chee.com,no-dmarc,,,,
big-AGI,bigagi.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
DeepEval Server,deepeval.com,no-dmarc,,,,
DeepSeek API Key,deepseek.com,quarantine,,mailto:dmarc_report@qiye.163.com,,v=DMARC1; p=quarantine; fo=1; ruf=mailto:dmarc@qiye.163.com; rua=mailto:dmarc_report@qiye.163.com
BISHENG,bisheng.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Docker daemon,docker.com,quarantine,,mailto:q1xwnepx@ag.dmarcian.com,,v=DMARC1; p=quarantine; pct=100; rua=mailto:q1xwnepx@ag.dmarcian.com; ruf=mailto:q1xwnepx@fr.dmarcian.com;
DICOM,dicom.com,quarantine,r,mailto:infra@dicom.com,,v=DMARC1; p=quarantine; rua=mailto:infra@dicom.com; ruf=mailto:infra@dicom.com; aspf=r
Devika,devika.com,none,s,mailto:dmarc@devika.com,,v=DMARC1; p=none; rua=mailto:dmarc@devika.com; pct=100; adkim=s; aspf=s
Elasticsearch,elastic.co,quarantine,,"mailto:dmarc@elastic.co,mailto:dmarc_agg@vali.email",,"v=DMARC1; p=quarantine; rua=mailto:dmarc@elastic.co,mailto:dmarc_agg@vali.email;"
Elasticsearch transport,elasticsearch.com,none,,"mailto:dmarc@elastic.co,mailto:dmarc_agg@vali.email",,"v=DMARC1; p=none; rua=mailto:dmarc@elastic.co,mailto:dmarc_agg@vali.email; v=DMARC1; p=reject; rua=mailto:postmaster@elasticsearch.com."
Envoy Admin,envoy.com,reject,,mailto:dmarc-reports@envoy.com,,v=DMARC1; p=reject; pct=100; rua=mailto:dmarc-reports@envoy.com
Epsilla,epsilla.com,none,,mailto:admin@epsilla.com,,v=DMARC1; p=none; rua=mailto:admin@epsilla.com; ruf=mailto:admin@epsilla.com; sp=none; ri=86400
Docling,docling-project.github.io,no-dmarc,,,,
Evolution API (WhatsApp),evolution.com,quarantine,,mailto:dmarcreports@infosecevo.com,,v=DMARC1; p=quarantine; fo=1; rua=mailto:dmarcreports@infosecevo.com;ruf=mailto:dmarcreports_fo@infosecevo.com
etcd,etcd.com,no-dmarc,,,,
Evidently,evidently.com,quarantine,s,mailto:dmarc@evidently.com,,v=DMARC1; p=quarantine; rua=mailto:dmarc@evidently.com; pct=100; adkim=s; aspf=s
Exposed API Credentials,exposed.com,no-dmarc,,,,
Dgraph,dgraph.com,no-dmarc,,,,
FastMCP,fastmcp.com,no-dmarc,,,,v=spf1 -all
Env File Exposure,envfile.com,nxdomain,,,,
Flowise,flowise.com,no-dmarc,,,,
ES-LTR,esltr.com,nxdomain,,,,
Flyte,flyte.org,no-dmarc,,,,
faster-whisper,fasterwhisper.com,no-dmarc,,,,
F5-TTS,f5tts.com,nxdomain,,,,
Feast,feast.dev,no-dmarc,,,,
CouchDB,couchdb.com,no-dmarc,,,,
Forge,forge.com,no-dmarc,,,,
Google AI Key,google.com,reject,,mailto:mailauth-reports@google.com,,v=DMARC1; p=reject; rua=mailto:mailauth-reports@google.com
GlassFish Admin,glassfish.com,none,,,,v=DMARC1; p=none
GPT4All,gpt4all.com,no-dmarc,,,,
Flyte Console,flyte.com,reject,,,,v=DMARC1; p=reject
GPT Researcher,gptresearcher.com,no-dmarc,,,,v=spf1 -all
FastGPT,fastgpt.com,no-dmarc,,,,expired.hichina.com.
Gradio,gradio.app,quarantine,,,,v=DMARC1; p=quarantine; pct=100;
Grafana,grafana.com,quarantine,r,"mailto:grc@grafana.com,mailto:dmarc_agg@vali.email",,"v=DMARC1;p=quarantine;rua=mailto:grc@grafana.com,mailto:dmarc_agg@vali.email;ruf=mailto:grc@grafana.com;rf=afrf;sp=none;fo=1;pct=10;ri=86400;adkim=r;aspf=r"
GreptimeDB,greptimedb.com,no-dmarc,,,,
Groq API Key,groqapi.com,no-dmarc,,,,
gpt-engineer,gptengineer.com,nxdomain,,,,
GPUStack,gpustack.com,no-dmarc,,,,traff-https.hugedomains.com. hdl-prd-https-0699149ba9be518e.elb.us-east-1.amazonaws.com.
Graphiti,graphiti.com,quarantine,,mailto:dmarcgraphiti@creativetechs.com,,v=DMARC1; p=quarantine; rua=mailto:dmarcgraphiti@creativetechs.com; ruf=mailto:dmarcgraphiti@creativetechs.com; pct=100
Guardrails AI,guardrailsai.com,quarantine,r,mailto:admin@guardrailsai.com,,v=DMARC1; p=quarantine; rua=mailto:admin@guardrailsai.com; pct=100; adkim=r; aspf=r;
Hatchet,hatchet.com,no-dmarc,,,,v=spf1 ip6:fdcf:abda:4154::/48 -all 0ad094978b47130a6a809a0396525cae21191ed6
Helicone,helicone.ai,none,,mailto:dmarc@helicone.ai,,v=DMARC1; p=none; rua=mailto:dmarc@helicone.ai
Harbor,harbor.com,no-dmarc,,,,
Danswer/Onyx,dansweronyx.com,no-dmarc,,,,
Helicone Self-Hosted,helicone.com,reject,,,,v=DMARC1; p=reject;
Determined AI,determined.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
HexStrike AI,hexstrike.com,no-dmarc,,,,
Hadoop NameNode,hadoop.com,no-dmarc,,,,
Dask Dashboard,daskdashboard.com,no-dmarc,,,,
Hubble UI,hubble.com,quarantine,,mailto:postmaster@hubblenetwork.com,,v=DMARC1; p=quarantine; pct=100; rua=mailto:postmaster@hubblenetwork.com
Dify,dify.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
DICOMweb (QIDO-RS),dicomweb.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Holoscan,holoscan.com,no-dmarc,,,,
django-river-ml,djangoriverml.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
h2oGPT,h2ogpt.com,nxdomain,,,,
DocsGPT,docsgpt.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Dyad,dyad.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
dcm4che / dcm4chee-arc DICOM Archive,dcm4che.com,no-dmarc,,,,
Embedding API,embedding.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Humanloop,humanloop.com,reject,,"mailto:73a4370d6f51488bae0213c127de23fe@dmarc-reports.cloudflare.net,mailto:re+63584bb9eca7@inbound.dmarcdigests.com,mailto:51bdd5de8d@rua.easydmarc.com",,"v=DMARC1;p=reject;rua=mailto:73a4370d6f51488bae0213c127de23fe@dmarc-reports.cloudflare.net,mailto:re+63584bb9eca7@inbound.dmarcdigests.com,mailto:51bdd5de8d@rua.easydmarc.com;ruf=mailto:51bdd5de8d@ruf.easydmarc.com;fo=1;"
HyperAgent,hyperagent.com,reject,,"mailto:dc7a0f9c@dmarc.mailgun.org,mailto:b38def86@inbox.ondmarc.com",,"v=DMARC1; p=reject; pct=100; fo=1; ri=3600; rua=mailto:dc7a0f9c@dmarc.mailgun.org,mailto:b38def86@inbox.ondmarc.com; ruf=mailto:dc7a0f9c@dmarc.mailgun.org,mailto:b38def86@inbox.ondmarc.com;"
Infinity (InfiniFlow),infinity.com,reject,,mailto:2ynhg3yt@ag.dmarcian.com,,v=DMARC1; p=reject; rua=mailto:2ynhg3yt@ag.dmarcian.com
InfluxDB,influxdata.com,none,,mailto:dmarc@influxdata.com,,v=DMARC1; p=none; rua=mailto:dmarc@influxdata.com; ruf=mailto:dmarc-forensic@influxdata.com; fo=0
Jina,jina.ai,reject,,mailto:97c78defd75c4779969ec4960677d295@dmarc-reports.cloudflare.net,,v=DMARC1;  p=reject; rua=mailto:97c78defd75c4779969ec4960677d295@dmarc-reports.cloudflare.net
Inspect AI,inspect.com,quarantine,,mailto:support@inspect.com,,v=DMARC1; p=quarantine; fo=1; rua=mailto:support@inspect.com
k3s,k3s.com,reject,,mailto:noreply@k3s.com,,v=DMARC1; p=reject; rua=mailto:noreply@k3s.com; ruf=mailto:noreply@k3s.com; pct=100; sp=reject;
HuggingFace TEI,huggingface.com,no-dmarc,,,,
JupyterHub,jupyter.org,none,,mailto:dmarc-report@ipython.org,,v=DMARC1; p=none; rua=mailto:dmarc-report@ipython.org
InvokeAI,invokeai.com,no-dmarc,,,,v=spf1 -all
Jupyter,jupyter.com,no-dmarc,,,,
GPT-SoVITS,gptsovits.com,no-dmarc,,,,
Kestra,kestra.com,no-dmarc,,,,
Kafka Connect,kafka.com,quarantine,r,mailto:info@kafka.com,,v=DMARC1; p=quarantine; sp=none; adkim=r; aspf=r; pct=100; fo=0; rf=afrf; ri=86400; rua=mailto:info@kafka.com
Fooocus,fooocus.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Garak,garak.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
KServe,kserve.github.io,no-dmarc,,,,
Kokoro-FastAPI,kokorofastapi.com,nxdomain,,,,
Gorse,gorse.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Kong Admin API,kongadmin.com,nxdomain,,,,
Kubecost,kubecost.com,none,,,,v=DMARC1; p=none;
Kokoro TTS,kokoro.com,no-dmarc,,,,
Kubelet,kubelet.com,no-dmarc,,,,
Kotaemon,kotaemon.com,nxdomain,,,,
Label Studio,label.com,none,,,,v=DMARC1; p=none;
Lakera Guard,lakera.com,reject,r,mailto:dmarc_rua@onsecureserver.net,,v=DMARC1; p=reject; adkim=r; aspf=r; rua=mailto:dmarc_rua@onsecureserver.net;
LanceDB,lancedb.com,quarantine,r,mailto:re+uaaxygbh6os@dmarc.postmarkapp.com,,v=DMARC1; p=quarantine; pct=100; rua=mailto:re+uaaxygbh6os@dmarc.postmarkapp.com; sp=none; aspf=r
KoboldCpp,koboldcpp.com,no-dmarc,,,,
Langfuse,langfuse.com,reject,r,mailto:f5f24abdba8d4a6ab76a940f16c24f9a@dmarc-reports.cloudflare.net,,v=DMARC1; p=reject; pct=100; rua=mailto:f5f24abdba8d4a6ab76a940f16c24f9a@dmarc-reports.cloudflare.net; sp=reject; aspf=r;
Kubernetes API,kubernetes.com,no-dmarc,,,,
Langflow,langflow.org,reject,,mailto:dmarc_rua@emaildefense.proofpoint.com,,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com;
ksqlDB,ksqldb.com,nxdomain,,,,
LangSmith,langchain.com,reject,r,"mailto:postmaster@langchain.dev,mailto:254220@dmarcmntr.com",,"v=DMARC1; p=reject; sp=reject; pct=100; adkim=r; aspf=r; rua=mailto:postmaster@langchain.dev,mailto:254220@dmarcmntr.com; ruf=mailto:254220@dmarcmntr.com; fo=1"
LangGraph Server,langgraph.com,no-dmarc,,,,
Kubeflow,kubeflow.org,no-dmarc,,,,
Letta,letta.com,none,,,,v=DMARC1; p=none
Jan,jan.com,no-dmarc,,,,
LightRAG,lightrag.com,no-dmarc,,,,v=spf1 -all
LiteLLM,litellm.ai,none,,,,v=DMARC1; p=none;
Linkerd Proxy Admin,linkerd.com,no-dmarc,,,,
Kiali,kiali.com,no-dmarc,,,,
LiveKit,livekit.com,none,,,,v=DMARC1; p=none;
LLaMA-Factory,llamafactory.com,no-dmarc,,,,
LlamaIndex,llamaindex.ai,quarantine,,mailto:dmarc@llamaindex.ai,,v=DMARC1;p=quarantine;sp=quarantine;pct=100;rua=mailto:dmarc@llamaindex.ai
llama.cpp server,llamacpp.com,no-dmarc,,,,v=spf1 -all
LM Studio,lmstudio.com,reject,s,,,v=DMARC1; p=reject; sp=reject; adkim=s; aspf=s;
LocalAI,localai.com,none,,,,v=DMARC1; p=none;
LobeChat,lobechat.com,no-dmarc,,,,
M3DB,m3db.com,quarantine,s,,,v=DMARC1; p=quarantine; adkim=s; aspf=s
LibreChat,librechat.com,no-dmarc,,,,urlforward-https.namebright.com. cdl-prd-https-247c6c9f427caacd.elb.us-east-1.amazonaws.com.
Lunary,lunary.com,no-dmarc,,,,
FastAPI ML,fastapi.com,no-dmarc,,,,
LlamaGuard,llamaguard.com,no-dmarc,,,,traff-https.hugedomains.com. hdl-prd-https-0699149ba9be518e.elb.us-east-1.amazonaws.com.
Marqo,marqo.ai,reject,,mailto:tools+dmarc@marqo.ai,,v=DMARC1;p=reject;pct=100;rua=mailto:tools+dmarc@marqo.ai;ruf=mailto:tools+dmarc@marqo.ai;ri=86400;fo=1;
Mage.ai,mageai.com,no-dmarc,,,,v=spf1 -all
Materialize,materialize.com,reject,,mailto:xhmybcjk@ag.dmarcian.com,,v=DMARC1; p=reject; pct=100; rua=mailto:xhmybcjk@ag.dmarcian.com
Meilisearch,meilisearch.com,reject,,mailto:dmark@meilisearch.com,,v=DMARC1; p=reject; rua=mailto:dmark@meilisearch.com; pct=100;
Marquez,marquez.com,no-dmarc,,,,
infinity-embedding,infinityembedding.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Mem0,mem0.com,no-dmarc,,,,
MCP Server,mcpserver.com,no-dmarc,,,,
Istiod Debug,istiod.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Istio Envoy Admin,istio.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Jina Embeddings,jinaembeddings.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
JupyterLab,jupyterlab.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Memgraph,memgraph.com,quarantine,,,,v=DMARC1; p=quarantine; pct=100
MemGPT,memgpt.com,no-dmarc,,,,v=spf1 -all
Metabase,metabase.com,quarantine,,mailto:dmarc@metabase.com,,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc@metabase.com; ruf=mailto:dmarc@metabase.com
Khoj,khoj.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
MinIO,min.io,quarantine,r,mailto:spam-reports@min.io,,v=DMARC1; p=quarantine; pct=0; rua=mailto:spam-reports@min.io; ruf=mailto:security@min.io; adkim=r; aspf=r; sp=quarantine;
MetaGPT,metagpt.com,none,,mailto:client-dmarc@dynadot.com,,v=DMARC1; p=none; rua=mailto:client-dmarc@dynadot.com
Mistral API Key,mistral.com,none,,,,v=DMARC1; p=none; sp=none;
Kong AI Gateway,kongai.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
MinIO / Portainer,minio.com,no-dmarc,,,,v=spf1 ip6:fdcf:abda:4154::/48 -all
MLflow Tracking Server,mlflow.com,reject,,mailto:dmarc_agg@dmarc.250ok.net,,v=DMARC1; p=reject; rua=mailto:dmarc_agg@dmarc.250ok.net; ruf=mailto:dmarc_fr@dmarc.250ok.net; fo=1; pct=100; rf=afrf
Metarank,metarank.com,no-dmarc,,,,
MongoDB,mongodb.com,reject,,"mailto:dmarc_agg@vali.email,mailto:dmarc_reports@mongodb.com",,"v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email,mailto:dmarc_reports@mongodb.com; ruf=mailto:1eed4417@forensics.dmarc-report.com,mailto:dmarc_reports@mongodb.com"
MONAI Label Server,monai.com,no-dmarc,,,,
Mozilla TTS,mozilla.com,reject,r,"mailto:dmarc_agg@vali.email,mailto:dmarc@mozilla.com",,"v=DMARC1; p=reject; pct=100; adkim=r; aspf=r; rua=mailto:dmarc_agg@vali.email,mailto:dmarc@mozilla.com"
MLflow,mlflow.org,no-dmarc,,,,
MySQL / Cloud SQL,mysql.com,none,,mailto:dmarc_rua@emaildefense.proofpoint.com,,v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1
n8n,n8n.com,no-dmarc,,,,
MusicGen,musicgen.com,no-dmarc,,,,
Milvus,milvus.io,no-dmarc,,,,
NATS,nats.com,no-dmarc,,,,
Motorhead,motorhead.com,no-dmarc,,,,
NeMo Guardrails,nemoguardrails.com,no-dmarc,,,,v=spf1 -all
Netflix Conductor,netflix.com,reject,,"mailto:netflix@rua.netcraft.com,mailto:dmarcreports@netflix.com,mailto:dmarc_agg@dmarc.250ok.net",,"v=DMARC1; p=reject; fo=1; rua=mailto:netflix@rua.netcraft.com,mailto:dmarcreports@netflix.com,mailto:dmarc_agg@dmarc.250ok.net;ruf=mailto:netflix@ruf.netcraft.com,mailto:dmarcreports@netflix.com,mailto:dmarc_fr@dmarc.250ok.net"
LangServe,langserve.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
NVIDIA DCGM,nvidia.com,reject,,mailto:dmarc_agg@vali.email,,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email; fo=1; ri=3600
LangSmith Self-Hosted,langsmith.com,no-dmarc,,,,;; communications error to 127.0.0.53#53: timed out ;; no servers could be reached
Memobase,memobase.com,no-dmarc,,,,70e1df3b081bfa704dcdd783f4cc6d96a2651ed6 v=spf1 a mx ip4:78.46.152.77 ip4:78.46.5.205 ~all afternic-verification-Zu2GyptzbQBYw79bexwxDE 1CA5DA2235A0D5074A4C2B5C02FFF9F9
Kibana,kibana.com,no-dmarc,,,,
