ip	port	hostnames	org	country	isp
47.105.73.34	4000		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
173.230.132.95	8907	173-230-132-95.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
57.129.104.203	4000	vps-30c9f804.vps.ovh.net	OVH SAS	FR	OVH SAS
8.146.229.146	32764		Aliyun Computing Co.LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
154.205.147.140	9023		Cloud Innovation Ltd	OM	Kaopu Cloud HK Limited
139.162.96.237	15040	139-162-96-237.ip.linodeusercontent.com	139.162.0.0/16	JP	Akamai Connected Cloud
47.251.177.34	12130		Alibaba Cloud - US	US	Alibaba (US) Technology Co., Ltd.
47.116.184.237	3503		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
47.87.138.30	9075		Alibaba Cloud LLC	DE	Alibaba (US) Technology Co., Ltd.
97.107.137.87	18086	97-107-137-87.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
47.237.170.242	80		Alibaba Cloud LLC	SG	Alibaba (US) Technology Co., Ltd.
47.236.175.143	80		Alibaba Cloud LLC	SG	Alibaba (US) Technology Co., Ltd.
43.98.249.174	80		Alibaba Cloud (Singapore) Private Limited	SG	Alibaba (US) Technology Co., Ltd.
20.123.92.228	4000		Microsoft Corporation	IE	Microsoft Corporation
5.61.48.103	4000	mail.ufolabs.cc	IROKO Networks Corporation	NL	Scalaxy B.V.
172.105.197.196	21025	172-105-197-196.ip.linodeusercontent.com	Linode	JP	Akamai Connected Cloud
108.131.193.69	443	ec2-108-131-193-69.eu-west-1.compute.amazonaws.com	Amazon Data Services Ireland Limited	IE	Amazon.com, Inc.
172.235.17.108	7782	172-235-17-108.ip.linodeusercontent.com	Linode	IN	Akamai Connected Cloud
50.116.24.242	12304	50-116-24-242.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
39.100.95.30	16081		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
45.56.71.80	45667	45-56-71-80.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
47.236.8.8	80		Alibaba Cloud LLC	SG	Alibaba (US) Technology Co., Ltd.
68.104.163.182	4000	ip68-104-163-182.ph.ph.cox.net	Cox Communications Inc.	US	Cox Communications Inc.
216.128.158.58	4000	216-128-158-58.choopa.net	The Constant Company, LLC	US	The Constant Company, LLC
159.69.106.84	4000	static.84.106.69.159.clients.your-server.de	Hetzner Online GmbH	DE	Hetzner Online GmbH
118.190.203.161	23536		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
47.90.204.194	16067		Alibaba Cloud - US	US	Alibaba (US) Technology Co., Ltd.
194.59.31.22	4000		Virtuo Networks France SAS	FR	12651980 CANADA INC.
47.237.205.226	12571		Alibaba Cloud LLC	SG	Alibaba (US) Technology Co., Ltd.
8.211.199.63	15044		Alibaba Cloud (Singapore) Private Limited	GB	Alibaba (US) Technology Co., Ltd.
20.240.160.102	443	local-ai.prosonit.se	Microsoft Corporation	SE	Microsoft Corporation
198.58.112.235	8475	198-58-112-235.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
172.232.46.147	3151	172-232-46-147.ip.linodeusercontent.com	Linode	FR	Akamai Connected Cloud
44.253.23.232	80	ec2-44-253-23-232.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
45.124.54.69	4000	sol.tac88.info	Mammoth Media Pty Ltd	AU	Mammoth Media Pty Ltd
47.238.167.218	5231		Alibaba Cloud LLC	HK	Alibaba (US) Technology Co., Ltd.
23.239.8.82	30003	23-239-8-82.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
47.84.65.81	9988		Alibaba Cloud LLC	SG	Alibaba (US) Technology Co., Ltd.
45.33.27.196	51201	45-33-27-196.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
172.234.44.170	2060	172-234-44-170.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
23.23.230.124	443	ec2-23-23-230-124.compute-1.amazonaws.com	Amazon Data Services NoVa	US	Amazon.com, Inc.
65.21.227.58	4000	static.58.227.21.65.clients.your-server.de	Hetzner Online GmbH	FI	Hetzner Online GmbH
72.14.188.113	285	72-14-188-113.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
170.187.154.235	285	170-187-154-235.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
45.79.5.148	3190	45-79-5-148.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
139.144.207.11	6622	139-144-207-11.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
146.59.81.114	4001	ns3212981.ip-146-59-81.eu	OVH Sp. z o. o.	PL	OVH SAS
91.102.7.145	80	145.7.102.91.static.swisp.co.uk	Data Centre Server IP address range	GB	South West Communications Group Ltd
39.102.209.128	3190		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
174.142.116.43	443	bluera.com	Leaseweb Canada Inc.	CA	Leaseweb Canada Inc.
23.92.30.249	5801	23-92-30-249.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
47.131.159.208	80	ec2-47-131-159-208.ap-southeast-1.compute.amazonaws.com	Amazon Data Services Singapore	SG	Amazon.com, Inc.
8.211.194.85	18078		Alibaba Cloud (Singapore) Private Limited	GB	Alibaba (US) Technology Co., Ltd.
23.92.20.189	10022	23-92-20-189.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
172.234.43.80	12379	172-234-43-80.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
44.215.48.36	80	ec2-44-215-48-36.compute-1.amazonaws.com	Amazon Data Services NoVa	US	Amazon.com, Inc.
120.26.104.146	2107		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
44.221.244.29	80		Amazon Data Services NoVa	US	Amazon.com, Inc.
162.203.77.90	4000	162-203-77-90.lightspeed.sndgca.sbcglobal.net	AT&T Enterprises, LLC	US	AT&T Enterprises, LLC
172.233.46.123	5801	172-233-46-123.ip.linodeusercontent.com	Linode	NL	Akamai Connected Cloud
8.209.99.111	12558		Alibaba Cloud (Singapore) Private Limited	DE	Alibaba (US) Technology Co., Ltd.
8.215.195.140	4506		Alibaba Cloud (Singapore) Private Limited	ID	Alibaba (US) Technology Co., Ltd.
52.27.6.229	80	ec2-52-27-6-229.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
8.146.234.106	2444		Aliyun Computing Co.LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
34.225.69.117	80	ec2-34-225-69-117.compute-1.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
159.195.27.207	4000	cloudbots.chat	DXC Technology Danmark A/S	DK	
18.220.49.26	80	ec2-18-220-49-26.us-east-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
163.172.144.236	4000	236-144-172-163.instances.scw.cloud	Scaleway Dedibox - Paris, France	FR	SCALEWAY S.A.S.
8.213.215.187	91		Alibaba Cloud (Singapore) Private Limited	TH	Alibaba (US) Technology Co., Ltd.
52.41.247.116	80	ec2-52-41-247-116.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
134.199.205.252	4000	maggie.murgadoautogroup.com	DigitalOcean, LLC	US	DigitalOcean, LLC
139.129.39.57	5594		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
8.213.195.191	12283		Alibaba Cloud (Singapore) Private Limited	TH	Alibaba (US) Technology Co., Ltd.
47.74.56.210	80		Alibaba Cloud - JP	JP	Alibaba (US) Technology Co., Ltd.
163.172.141.127	443	broker.halfred.ai;127-141-172-163.instances.scw.cloud	Scaleway Dedibox - Paris, France	FR	SCALEWAY S.A.S.
45.32.23.93	4000	45.32.23.93.vultrusercontent.com	Vultr Holdings, LLC	JP	The Constant Company, LLC
172.234.130.140	18093	172-234-130-140.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
198.13.32.221	443	litellm-ecloud-jp1-u71556.vm.elestio.app	Vultr Holdings, LLC	JP	The Constant Company, LLC
8.215.15.163	8174		Alibaba Cloud (Singapore) Private Limited	ID	Alibaba (US) Technology Co., Ltd.
20.114.112.197	443	llm.sshk2.com	Microsoft Corporation	US	Microsoft Corporation
123.57.38.35	3522		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
173.255.192.64	4999	173-255-192-64.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
52.50.118.29	443	ec2-52-50-118-29.eu-west-1.compute.amazonaws.com;litellm.etalente.co.za	Amazon Data Services Ireland Limited	IE	Amazon.com, Inc.
163.172.141.127	4000	127-141-172-163.instances.scw.cloud	Scaleway Dedibox - Paris, France	FR	SCALEWAY S.A.S.
39.102.213.187	16036		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
139.162.51.23	7657	139-162-51-23.ip.linodeusercontent.com	139.162.0.0/16	SG	Akamai Connected Cloud
47.254.153.78	993		Alibaba Cloud - DE	DE	Alibaba (US) Technology Co., Ltd.
139.162.1.177	5240	139-162-1-177.ip.linodeusercontent.com	Linode, LLC	SG	Akamai Connected Cloud
54.94.153.163	443	ec2-54-94-153-163.sa-east-1.compute.amazonaws.com;litellm-server.sharpi.com.br	Amazon Data Services Brazil	BR	Amazon.com, Inc.
47.119.177.30	7082		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
18.192.102.134	443	ec2-18-192-102-134.eu-central-1.compute.amazonaws.com;router.amal.education	A100 ROW GmbH	DE	Amazon.com, Inc.
43.137.17.90	4000	mail.wegen.world	Tencent Cloud Computing (Beijing) Co., Ltd	CN	Shenzhen Tencent Computer Systems Company Limited
45.56.126.247	4300	45-56-126-247.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
95.133.253.70	4000		JSC Ukrtelecom	US	
52.37.148.242	80	ec2-52-37-148-242.us-west-2.compute.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
8.221.141.88	5227		Alibaba Cloud (Singapore) Private Limited	JP	Alibaba (US) Technology Co., Ltd.
142.171.165.101	4000	37-246-82-173-dedicated.multacom.com	MULTACOM CORPORATION	US	MULTACOM CORPORATION
51.68.139.139	80	vps-936c9b54.vps.ovh.net	OVH Sp. z o. o.	PL	OVH SAS
120.46.5.53	7349	yuaszx.top	Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co)	CN	Huawei Cloud Service data center
45.32.23.101	4000	45.32.23.101.vultrusercontent.com	Vultr Holdings, LLC	JP	The Constant Company, LLC
98.83.89.236	80	ec2-98-83-89-236.compute-1.amazonaws.com	Amazon Data Services NoVa	US	Amazon.com, Inc.
8.138.110.97	30007		Aliyun Computing Co.LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
47.251.177.81	7349		Alibaba Cloud - US	US	Alibaba (US) Technology Co., Ltd.
110.164.163.24	4000	mx-ll-110.164.163-24.static.3bb.co.th	3BB Broadband Internet service provider in Thailand	TH	Triple T Broadband Public Company Limited
8.211.195.173	3014		Alibaba Cloud (Singapore) Private Limited	GB	Alibaba (US) Technology Co., Ltd.
144.124.252.251	4000	v688137.hosted-by-vdsina.com	Aberystwyth University	GB	Jisc Services Limited
74.48.70.26	4000	250-21-82-173-dedicated.multacom.com	MULTACOM CORPORATION	US	MULTACOM CORPORATION
123.30.233.78	4000	static.vnpt.vn	Vietnam Posts and Telecommunications Group	VN	VNPT Corp
118.70.177.107	4000		FPT Telecom	VN	FPT Telecom Company
20.83.187.209	4000		Microsoft Corporation	US	Microsoft Corporation
173.255.203.214	3131	173-255-203-214.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
47.94.228.159	4000		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
2.59.133.162	4000		dataforest GmbH	DE	dataforest GmbH
202.182.124.145	4000	202.182.124.145.vultrusercontent.com	The Constant Company, LLC	JP	The Constant Company, LLC
152.54.15.13	4000		Renaissance Computing Institute	US	MCNC
141.95.109.202	4000		OVH GmbH	DE	OVH SAS
135.232.214.222	4000		Microsoft Limited	US	Microsoft Corporation
47.81.56.181	5596		Alibaba Cloud LLC	TH	Alibaba (US) Technology Co., Ltd.
51.159.175.239	4000	239-175-159-51.rev.scw.cloud	Scaleway	FR	SCALEWAY S.A.S.
198.13.41.27	4000	198.13.41.27.vultrusercontent.com	Vultr Holdings, LLC	JP	The Constant Company, LLC
39.102.208.23	9885		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
8.213.235.131	55554		Alibaba Cloud (Singapore) Private Limited	TH	Alibaba (US) Technology Co., Ltd.
95.216.36.98	4000	static.98.36.216.95.clients.your-server.de	Hetzner Online GmbH	FI	Hetzner Online GmbH
170.187.154.235	17778	170-187-154-235.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
147.139.133.146	30112		Alibaba Cloud - ID	ID	Alibaba (US) Technology Co., Ltd.
172.234.239.47	5608	172-234-239-47.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
94.72.114.241	443	llm.brpress.org;vmi3204295.contaboserver.net	Contabo GmbH	US	Nubes, LLC
91.98.116.226	4000	static.226.116.98.91.clients.your-server.de	Hetzner Online GmbH	AE	
173.255.192.64	97	173-255-192-64.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
15.240.37.159	443	litellm.ikhokha.green;ec2-15-240-37-159.af-south-1.compute.amazonaws.com	Amazon.com, Inc.	ZA	Amazon.com, Inc.
172.236.203.139	20000	172-236-203-139.ip.linodeusercontent.com	Linode	DE	Akamai Connected Cloud
45.79.163.117	20000	45-79-163-117.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
49.51.169.89	4000		Tencent cloud computing (Beijing) Co., Ltd.	DE	Tencent Building, Kejizhongyi Avenue
120.53.251.60	8000		Shandong Servsd Technology Co. Ltd.	CN	Shenzhen Tencent Computer Systems Company Limited
46.62.206.108	4000	static.108.206.62.46.clients.your-server.de	Hetzner Online GmbH	FI	Hetzner Online GmbH
54.167.207.94	80	ec2-54-167-207-94.compute-1.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
184.32.27.185	80	ec2-184-32-27-185.us-west-2.compute.amazonaws.com	Amazon.com, Inc.	US	Amazon.com, Inc.
1.15.89.212	4000		Tencent cloud computing (Beijing) Co., Ltd.	CN	Shenzhen Tencent Computer Systems Company Limited
18.206.53.20	80	ec2-18-206-53-20.compute-1.amazonaws.com	Amazon Technologies Inc.	US	Amazon.com, Inc.
47.113.219.226	8787		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
8.213.196.214	32400		Alibaba Cloud (Singapore) Private Limited	TH	Alibaba (US) Technology Co., Ltd.
8.213.215.166	2376		Alibaba Cloud (Singapore) Private Limited	TH	Alibaba (US) Technology Co., Ltd.
32.195.243.54	80	ec2-32-195-243-54.compute-1.amazonaws.com	Amazon.com, Inc.	US	
50.116.24.242	9091	50-116-24-242.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
34.93.132.131	80	131.132.93.34.bc.googleusercontent.com	Google LLC	IN	Google LLC
94.237.96.232	443	litellm.adorsys.io;94-237-96-232.de-fra1.upcloud.host	UpCloud Cloud Servers	DE	UpCloud Ltd
110.164.163.26	443	mx-ll-110.164.163-26.static.3bb.co.th;demo.vu.ac.th	3BB Broadband Internet service provider in Thailand	TH	Triple T Broadband Public Company Limited
149.137.233.63	443	llms.axellero.io		US	Centersquare
103.52.212.89	4000		PT Awan Data Teknologi	ID	PT Awan Data Teknologi
3.90.74.48	443	litellm.awsprod.liquid.ai;ec2-3-90-74-48.compute-1.amazonaws.com	Amazon Data Services NoVa	US	Amazon.com, Inc.
39.105.28.172	441		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
92.5.10.142	80		Oracle Svenska AB	SE	
8.145.63.73	14894		Aliyun Computing Co.LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
195.62.49.162	4000	vm16504.hosted-by.it-garage.pro	IT-GARAGE Labs Limited	DE	IPTransit Business LTD
40.160.8.103	4000		OVH US LLC	US	OVH SAS
100.20.140.207	443	ec2-100-20-140-207.us-west-2.compute.amazonaws.com;dev.litellm.tryalma.ai	Amazon.com, Inc.	US	Amazon.com, Inc.
122.51.121.114	4000		Tencent cloud computing (Beijing) Co., Ltd.	CN	Shenzhen Tencent Computer Systems Company Limited
63.183.13.24	80	ec2-63-183-13-24.eu-central-1.compute.amazonaws.com	A100 ROW GmbH	DE	Amazon.com, Inc.
47.251.177.81	5080		Alibaba Cloud - US	US	Alibaba (US) Technology Co., Ltd.
198.38.86.82	443	litellm.mindcres.in;mindcres.in	WHG Hosting Services Ltd	IN	WHG Hosting Services Ltd
173.255.192.63	6503	173-255-192-63.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
47.99.215.143	4000		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
47.243.242.70	3301		Alibaba Cloud LLC	HK	Alibaba (US) Technology Co., Ltd.
172.234.64.71	11371	172-234-64-71.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
45.79.221.72	7474	45-79-221-72.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
8.208.52.231	50999		Aliyun Computing Co.LTD	GB	Alibaba (US) Technology Co., Ltd.
63.182.139.92	80	ec2-63-182-139-92.eu-central-1.compute.amazonaws.com	A100 ROW GmbH	DE	Amazon.com, Inc.
35.186.236.149	443	api.genius.coppel.services;149.236.186.35.bc.googleusercontent.com	Google LLC	US	Google LLC
46.62.238.64	4000	static.64.238.62.46.clients.your-server.de	Hetzner Online GmbH	FI	Hetzner Online GmbH
49.0.252.39	2108	ecs-49-0-252-39.compute.hwclouds-dns.com	Huawei Cloud Hongkong Region	HK	HUAWEI CLOUDS
112.213.37.89	443	llm.talk2view.com;t2v3-1	Mammoth Media Pty Ltd	AU	Mammoth Media Pty Ltd
116.203.65.176	443	static.176.65.203.116.clients.your-server.de;prolisting.ai	Hetzner Online GmbH	DE	Hetzner Online GmbH
170.187.142.123	3590	170-187-142-123.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
204.168.237.160	4000	static.160.237.168.204.clients.your-server.de	Hetzner Online GmbH	FI	
34.95.97.142	443	claude-gateway.vee.codes;142.97.95.34.bc.googleusercontent.com	Google LLC	US	Google LLC
34.117.61.5	443	litellm.endpoints.slb-images.cloud.goog;5.61.117.34.bc.googleusercontent.com	Google LLC	US	Google LLC
47.237.205.215	12574		Alibaba Cloud LLC	SG	Alibaba (US) Technology Co., Ltd.
172.234.43.100	12574	172-234-43-100.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
3.97.233.250	443	llms.nexapp.dev;ec2-3-97-233-250.ca-central-1.compute.amazonaws.com	Amazon Data Services Canada	CA	Amazon.com, Inc.
3.208.136.191	443	ec2-3-208-136-191.compute-1.amazonaws.com	Amazon Data Services NoVa	US	Amazon.com, Inc.
98.71.112.4	443	profiles.dev2.infra.kognitwin.com;sonarqube.dev2.infra.kognitwin.com;oneuptime.dev2.infra.kognitwin.com;traces.dev2.infra.kognitwin.com;httpbin.dev2.infra.kognitwin.com;analytics.dev2.infra.kognitwin.	Microsoft Corporation	IE	Microsoft Corporation
8.216.65.236	9916		Alibaba Cloud (Singapore) Private Limited	JP	Alibaba (US) Technology Co., Ltd.
47.237.198.2	12146		Alibaba Cloud LLC	SG	Alibaba (US) Technology Co., Ltd.
47.100.130.127	7480		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
101.200.158.109	8167		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
98.88.109.41	80	ec2-98-88-109-41.compute-1.amazonaws.com	Amazon Data Services NoVa	US	Amazon.com, Inc.
50.116.60.97	8528	50-116-60-97.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
120.27.24.21	18062		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
98.93.50.20	80	ec2-98-93-50-20.compute-1.amazonaws.com	Amazon Data Services NoVa	US	Amazon.com, Inc.
47.109.83.196	12341		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
172.233.185.72	7473	172-233-185-72.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
172.234.43.100	7473	172-234-43-100.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
86.48.20.216	4000	vmi2897493.contaboserver.net	Contabo GmbH	US	Nubes, LLC
47.115.151.25	636		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
8.213.199.231	7087		Alibaba Cloud (Singapore) Private Limited	TH	Alibaba (US) Technology Co., Ltd.
13.212.173.80	443	openclaw.iotoom.com;litellm.iotoom.com;ec2-13-212-173-80.ap-southeast-1.compute.amazonaws.com	Amazon Data Services Singapore	SG	Amazon.com, Inc.
43.143.64.185	4000		Tencent Cloud Computing (Beijing) Co., Ltd	CN	Shenzhen Tencent Computer Systems Company Limited
66.42.45.139	8080	66.42.45.139.vultrusercontent.com	The Constant Company, LLC	JP	The Constant Company, LLC
172.104.41.144	16400	172-104-41-144.ip.linodeusercontent.com	Linode	SG	Akamai Connected Cloud
8.208.46.154	18002		Aliyun Computing Co.LTD	GB	Alibaba (US) Technology Co., Ltd.
121.43.109.88	18002		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
176.108.248.75	4000		Cloud Technologies LLC trading as Cloud.ru	RU	"Cloud Technologies" LLC trading as Cloud.ru
57.181.19.250	443	ec2-57-181-19-250.ap-northeast-1.compute.amazonaws.com;pikabu.cc	Amazon Data Services Japan	JP	Amazon.com, Inc.
13.124.65.175	80	ec2-13-124-65-175.ap-northeast-2.compute.amazonaws.com	AWS Asia Pacific (Seoul) Region	KR	Amazon.com, Inc.
103.29.68.171	7331	103-29-68-171.ip.linodeusercontent.com	Akamai Connected Cloud / Linode	JP	Akamai Connected Cloud
120.79.21.48	12382		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
39.102.211.64	8161		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
172.234.130.69	12382	172-234-130-69.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
45.79.180.44	12382	45-79-180-44.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
47.92.82.167	63676		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
47.108.172.139	16082		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
172.234.43.118	19090	172-234-43-118.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
74.249.129.172	4000		Microsoft Corporation	US	Microsoft Corporation
20.232.57.156	80		Microsoft Corporation	US	Microsoft Corporation
8.220.204.215	2111		Alibaba Cloud (Singapore) Private Limited	KR	Alibaba (US) Technology Co., Ltd.
172.234.130.211	3953	172-234-130-211.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
1.92.94.174	9119	ecs-1-92-94-174.compute.hwclouds-dns.com	Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co)	CN	Huawei Cloud Service data center
44.220.99.226	443	ec2-44-220-99-226.compute-1.amazonaws.com;thebetter.ai	Amazon Data Services NoVa	US	Amazon.com, Inc.
47.112.19.200	8764		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
1.92.92.105	4243	ecs-1-92-92-105.compute.hwclouds-dns.com	Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co)	CN	Huawei Cloud Service data center
172.233.228.183	12482	172-233-228-183.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
8.145.44.65	95		Aliyun Computing Co.LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
173.255.192.47	5003	173-255-192-47.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
170.187.142.172	8883	170-187-142-172.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
47.251.177.34	16027		Alibaba Cloud - US	US	Alibaba (US) Technology Co., Ltd.
23.239.11.153	18108	23-239-11-153.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
45.79.221.250	6664	45-79-221-250.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
170.187.136.13	4000	170-187-136-13.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
85.159.209.239	21263	85-159-209-239.ip.linodeusercontent.com	Linode, LLC	GB	Akamai Connected Cloud
172.233.76.115	12280	172-233-76-115.ip.linodeusercontent.com	Linode	JP	Akamai Connected Cloud
195.95.166.133	443	llm.fmi.unibuc.ro	Universitatea Bucuresti	RO	Universitatea Bucuresti
129.226.220.107	443	piaozone.com		SG	Tencent Building, Kejizhongyi Avenue
45.79.163.184	12255	45-79-163-184.ip.linodeusercontent.com	Linode	US	Akamai Connected Cloud
39.102.209.128	10020		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
115.29.140.201	48889		Aliyun Computing Co., LTD	CN	Hangzhou Alibaba Advertising Co.,Ltd.
47.254.18.172	12428		Alibaba Cloud - US	US	Alibaba (US) Technology Co., Ltd.
