ip,port,scheme,status,total_repos,llm_match_count,llm_matches
47.254.85.247,5000,http,200,19,1,"vllm/vllm-openai"
146.235.245.47,5000,http,200,33,5,"langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,langgenius/dify-web,vllm/vllm-openai"
209.141.57.54,55000,http,200,89,2,"lmsysorg/sglang,vllm/vllm-openai"
206.237.12.86,50006,http,200,25,3,"ascend/vllm-ascend,lmsysorg/sglang,vllm/vllm-openai"
154.40.44.11,5000,http,200,87,5,"langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,litellm/litellm-database,vllm/vllm-openai"
50.28.69.108,5000,http,200,9,1,"vllm/vllm-openai"
163.61.31.178,55000,http,200,40,2,"ollama/ollama,vllm/vllm-openai"
149.248.14.62,51000,http,200,50,2,"ollama/ollama,vllm/vllm-openai"
5.75.247.181,5000,http,200,55,1,"vllm/vllm-openai"
146.235.202.9,51000,http,200,18,2,"lmsysorg/sglang,vllm/vllm-openai"
203.168.252.226,5000,http,200,6,2,"dockerhub-cache/lmsysorg/sglang-omni,dockerhub-cache/vllm/vllm-openai"
154.19.186.209,51000,http,200,2,2,"lmsysorg/sglang,vllm/vllm-openai"
89.117.94.189,51000,http,200,28,2,"lmsysorg/sglang,vllm/vllm-openai"
43.164.135.239,51000,http,200,45,6,"openim/openim-admin-front,openim/openim-chat,openim/openim-server,openim/openim-web-front,vllm/vllm-openai,xprobe/xinference"
142.171.3.201,51000,http,200,67,7,"langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,langgenius/dify-web,ollama/ollama,vllm/vllm-openai,xprobe/xinference"
149.28.8.247,51000,http,200,15,5,"langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,langgenius/dify-web,vllm/vllm-openai"
104.128.239.196,5100,http,200,78,6,"langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,langgenius/dify-web,ollama/ollama,vllm/vllm-openai"
149.28.8.247,55000,http,200,15,5,"langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,langgenius/dify-web,vllm/vllm-openai"
45.67.219.137,5000,http,200,46,5,"eosphorosai/dbgpt,langflowai/langflow,ollama/ollama,vllm/vllm-openai,xprobe/xinference"
89.117.94.197,51000,http,200,28,2,"lmsysorg/sglang,vllm/vllm-openai"
103.120.82.48,9999,http,200,7,4,"vllm/vllm-openai,wechatopenai/weknora-app,wechatopenai/weknora-docreader,wechatopenai/weknora-ui"
163.61.31.178,51000,http,200,40,2,"ollama/ollama,vllm/vllm-openai"
23.94.112.5,5000,http,200,2,1,"vllm/vllm-openai"
101.71.15.254,5000,http,200,12,1,"vllm-openai-x86"
101.71.15.248,5000,http,200,12,1,"vllm-openai-x86"
206.237.18.202,5000,http,200,27,7,"langgenius/dify-agentbox,langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,langgenius/dify-web,lmsysorg/sglang,vllm/vllm-openai"
206.237.127.215,5000,http,200,32,7,"langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,langgenius/dify-web,lmsysorg/sglang,vllm/vllm-openai,yidadaa/chatgpt-next-web"
188.241.210.104,5000,http,200,90,8,"beclab/aboveos-fastgpt-fastgpt,beclab/aboveos-fastgpt-fastgpt-sandbox,beclab/langgenius-dify-plugin-daemon,hiyouga/llamafactory,langgenius/dify-api,langgenius/dify-plugin-daemon,langgenius/dify-sandbox,langgenius/dify-web"
114.250.51.185,55000,http,200,1,1,"vllm/vllm-openai"
114.250.51.185,58000,http,200,1,1,"vllm/vllm-openai"
199.255.96.19,51000,http,200,53,1,"vllm/vllm-openai"

# SUMMARY: 49 unauth registries, 48 carrying LLM-stack images out of 64 candidates
