[1/82] 103.192.177.191  DEAD                 server= mfam=None coll=None
[67/82] 46.165.215.29    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[68/82] 5.83.150.29      HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[69/82] 64.44.30.11      HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[70/82] 57.131.30.6      HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[71/82] 64.177.66.88     HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[72/82] 66.235.110.79    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[73/82] 66.212.16.238    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[74/82] 67.215.253.157   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[75/82] 82.165.24.191    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[76/82] 47.101.172.94    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[77/82] 85.121.50.9      HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[78/82] 87.106.149.106   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[79/82] 87.106.200.240   HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[80/82] 87.106.35.8      HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[81/82] 94.72.140.191    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None
[82/82] 96.44.165.185    HEADER_ONLY_SUSPECT  server=Milvus/2.3.4 mfam=0 coll=None

=== milvus verify: {'DEAD': 1, 'HEADER_ONLY_SUSPECT': 81} ===
wrote vdb/milvus-verify.json
